上市電零組,上市紡織,上市汽車,上市化學生醫,上市金融,上市鋼鐵,上市航運,上市電器電纜,上市水泥,上市油電燃氣,上市造紙,上市營建,上市數位雲端,上市生技醫療,上市資訊服務,上市塑膠,上市電腦週邊,上市觀光,上市化學,上市居家生活,上市電子通路,上市電機,上市通信網路,上市電子,上市貿易百貨,上市橡膠,上市上市其它電子,上市綠能環保,上市光電,上市食品,上市其他,上市半導體,上市海外上市,上市玻璃,上市運動休閒,上櫃運動休閒,上櫃鋼鐵,上櫃其它電子,上櫃電機,上櫃電子通路,上櫃半導體,上櫃化工,上櫃電零組,上櫃食品,上櫃光電,上櫃數位雲端,上櫃其他,上櫃航運,上櫃紡織,上櫃居家生活,上櫃油電燃氣,上櫃農業科技業,上櫃文創類,上櫃金融,上櫃電器電纜,上櫃資訊服務,上櫃電腦週邊,上櫃觀光,上櫃綠能環保,上櫃生技醫療,上櫃營建,上櫃塑膠,上櫃通信網路,興櫃食品工業,興櫃電腦及週邊設備業,興櫃運動休閒,興櫃通信網路業,興櫃文化創意業,興櫃綠能環保,興櫃生技醫療業,興櫃紡織纖維,興櫃半導體業,興櫃電子通路業,興櫃航運業,興櫃鋼鐵工業,興櫃其他電子業,興櫃金融業,興櫃農業科技業,興櫃數位雲端,興櫃化學工業,興櫃光電業,興櫃電機機械,興櫃電子零組件業,興櫃建材營造,興櫃資訊服務業,興櫃其他,興櫃觀光事業,興櫃居家生活,興櫃油電燃氣業,網通設備組件,工業電腦,電腦週邊配件,手機相關,其他零組件,LED,IC設計服務,被動元件,主機板,PC/NB/平板,軟體設計,電子設備買賣,電信服務,其他電子或零件,其他網通,其他電腦週邊,消費電子或電器,太陽能,PCB,電子連接相關,IC生產製造,電池或電源,遊戲軟體,光電設備,組裝代工,其他光電,安全監控,電子組件買賣,機殼,網站經營/電商,3C賣場,設備或廠務工程,系統整合,面板業,USBTypeC,十一長假概念股,日圓貶值,iPad Air,智慧衣,洗腎,離岸風電概念股,人民幣貶值,車用電子,AMOLED,水資源,不斷電限電,富櫃50,Fun暑假,胎壓偵測器,車用2.0,PS5,智慧城市,日圓升值,智慧音箱,工業4.0,Macbook供應鏈,矽晶圓,雙鏡頭,宅經濟,光棍節,機器人,運動休閒,Apple iTV,一帶一路,台幣貶值,臺灣上櫃永續指數,特選上櫃ESG龍頭報酬指數,TPEx FactSet半導體氣候淨零優選報酬指數,櫃買薪酬指數,特選上櫃ESG永續高股息報酬指數,TPEx FactSet氣候韌性指數,高殖利率指數,富櫃200成分股,特選上櫃ESG成長報酬指數,Quality 50指數,櫃買公司治理指數,TPEx FactSet半導體氣候韌性指數,櫃買就業88指數,上櫃ESG 30指數,櫃買半導體領航報酬指數,富櫃50成分股,
長廣7795,振大環球4441,聯嘉投控3717,喬山1736,台中銀2812,世紀鋼9958,遠雄港5607,榮星1617,東泥1110,山隆2616,華紙1905,隆大5519,浪凡6165,睿生光電6861,邁達特6112,三芳1307,虹光2380,美食-KY2723,雙鍵4764,橋椿2062,至上8112,新代7750,明泰3380,虹光2380,益航2601,南港2101,漢唐2404,兆聯實業6944,鼎元2426,鮮活果汁-KY1256,茂順9942,凌通4952,GIS-KY6456,台玻1802,喬山1736,大田8924,久陽5011,位速3508,鈦昇8027,方土昶6265,鈺創5351,台特化4772,連展投控3710,環泰4207,東捷8064,夠麻吉8472,旭然4556,台聯櫃5601,光明4420,泰金-KY6629,欣雄8908,瑞基4171,地心引力3629,致和證5864,風青2061,國眾5410,青雲5386,天蔥2740,世禾3551,昱展新藥6785,亞昕5213,萬國通9950,威潤6465,火星生技*7731,安圖斯7875,鍇睿國際7779,連訊6820,淘米6428,海利普7877,泰宗4169,聚泰7862,景美7899,富基電通6707,中科物流7863,東盟開發1480,華洋精機6983,德信6027,祥圃7840,昕力資*7781,大同精化4738,華旭先進6682,湧盛2249,達勝7419,將捷7798,甲尚6882,金鼎科6832,錢櫃8359,特力屋7867,源大環能6639,兆赫2485,和暢科技6825,虹光2380,華冠8101,信錦1582,李洲3066,新唐4919,立誠6597,微星2377,仁寶2324,博士旺3555,港建*3093,大大寬頻7901,耐特8058,穩得6761,倚天酷碁-創2432,全域3067,台聚1304,達勝7419,嘉基6715,勵威5246,聯德3308,淘米6428,晶彩科3535,和碩4938,天瀚6225,勝品6556,富基電通6707,富驊5465,綠界科技*6763,鑫聯大投控3709,和亞智慧7825,聖育7868,GIS-KY6456,正崴2392,鳳凰5706,誠美材4960,GIS-KY6456,遠東新1402,鈊象3293,士電1503,敬鵬2355,新唐4919,GIS-KY6456,三福化4755,士電1503,聯亞3081,王品2727,謚源2235,健策3653,新唐4919,研華2395,誠美材4960,新唐4919,研華2395,GIS-KY6456,德微3675,宏達電2498,辣椒4946,鈊象3293,研華2395,祺驊1593,群創3481,研華2395,中鴻2014,精測6510,宜鼎5289,聯亞3081,鈺太6679,光洋科1785,雍智科技6683,鈺太6679,雍智科技6683,信驊5274,聯亞3081,鈺太6679,雍智科技6683,長科*6548,聯亞3081,新應材4749,聯亞3081,
嘉基6715,佳和1449,艾姆勒2241,國精化4722,元大金2885,豐達科3004,漢翔2634,華新1605,嘉泥1103,欣天然9918,永豐實6790,三發地產9946,LINEPAY7722,美時1795,三商電2427,南亞1303,研華2395,六福2705,上品4770,商億-KY8482,文曄3036,直得1597,智邦2345,漢唐2404,大洋-KY5907,南帝2108,汎銓6830,聯友金屬-創7610,精金3049,大飲1213,和潤企業6592,福懋科8131,再生-KY1337,和成1810,岱宇1598,正能量智能5348,沛波6248,光洋科1785,慶騰4534,尚立3360,雍智科技6683,美琪瑪4721,邑昇5291,綠茵6846,元太8069,騰雲6870,精剛1584,捷迅2643,飛寶企業4413,德記5902,大汽電8931,達邦蛋白6578,琉園9949,宏遠證6015,,系微6231,順達3211,揚秦2755,金益鼎8390,合富-KY4745,桓鼎-KY5543,信立4303,安瑞-KY3664,利統1293,和暢科技6825,久裕興4559,連騰6818,百聿數碼6622,開陽能源6839,宇越生醫*7902,,勵威5246,宏碁遊戲6908,中信造船2644,世紀風電2072,耐特8058,悠遊卡6035,超秦8345,凱鈿7737,永虹先進6618,達輝光電6434,高明鐵4573,佐臻4980,,聖育7868,宏碁創達7706,多那之7756,宏碁智新7794,,聯亞3081,青雲5386,富世達6805,宏達電2498,中探針6217,鼎元2426,博盛半導體7712,艾華6204,華碩2357,和碩4938,來毅數位7834,旺矽6223,是方6561,星雲8047,圓展3669,南良5450,憶聲3024,國碩2406,達邁3645,今皓3011,碩正科技7669,天弘化7742,傳奇4994,建騰5240,金寶2312,中環2323,云辰2390,博士旺3555,曜越3540,欣新網2949,建達6118,穎崴6515,安瑞-KY3664,誠美材4960,良維6290,王品2727,達邁3645,中探針6217,新纖1409,正隆1904,中鋼2002,瑞儀6176,鈺太6679,精金3049,士電1503,熙特爾-創7740,長科*6548,美食-KY2723,車王電1533,詮欣6205,鈺太6679,友訊2332,台半5425,鈺太6679,士電1503,中探針6217,中砂1560,致伸4915,鈊象3293,正隆1904,士電1503,喬山1736,友達2409,台塑1301,遠東新1402,信驊5274,中美晶5483,長科*6548,巨漢6903,中美晶5483,鈺太6679,鈊象3293,鈺太6679,中美晶5483,鈊象3293,長科*6548,鈺太6679,華宏8240,旺矽6223,旺矽6223,長科*6548,
柏承6141,新纖1409,帝寶6605,中華化1727,第一金2892,海光2038,長榮航太2645,華榮1608,幸福1108,欣高9931,榮成1909,冠德2520,現觀科6906,禾榮科7799,關貿6183,勝悅-KY1340,尼得科超眾6230,雄獅2731,康普4739,三能-KY6671,華立3010,華城1519,仲琦2419,凌通4952,淘帝-KY2929,建大2106,帆宣6196,鋼聯6581,一詮2486,大研生醫*7780,台火9902,祥碩5269,jpp-KY5284,冠軍1806,豐泰9910,明安8938,華祺5015,巨漢6903,彬台3379,建達6118,均華6640,奇鈦科3430,志豐3206,生合1295,錦明3230,91APP*-KY6741,邦泰8935,昱臺國際7716,銘旺實4432,米斯特2941,北基8927,惠光6508,智冠5478,康和證6016,,大世科8099,安鈦克6276,王座2751,新晶投控3713,健亞4130,富裔6264,勝昱4304,上詮3363,精華生醫7806,秀育6737,民盛7811,天凱科技6784,光禹國際6595,聯純6977,雅祥生醫6652,,立達5262,建祥國際3603,,震南鐵2071,和淞6826,瑞興銀5863,元進莊7895,物聯6565,崇舜7763,晶瑞光6787,詠勝昌*2245,貝爾威勒7861,,精誠金融7819,和運租車7855,享溫馨7760,京站2942,,天凱科技6784,研華2395,精元2387,天宇8171,健策3653,長科*6548,鈺太6679,年程3117,技嘉2376,微星2377,系微6231,京鼎3413,遠傳4904,光洋科1785,新復興4909,宏正6277,美隆電2477,機光科技6729,昶昕8438,長盛3492,汎銓6830,明基材8215,樂意7584,京鼎3413,緯創3231,鈺德3050,沅聖6638,佶優5452,可成2474,歐買尬3687,精技2414,巨漢6903,精誠金融7819,精金3049,安格6684,寒舍2739,集盛1455,仁寶2324,福懋1434,綠界科技*6763,新光鋼2031,健鼎3044,凌通4952,群創3481,台肥1722,錸寶8104,鈊象3293,微星2377,同致3552,新至陞3679,健策3653,統新6426,中環2323,天鈺4961,京鼎3413,精元2387,中美晶5483,大立光3008,喬山1736,綠界科技*6763,松翰5471,遠東新1402,瑞儀6176,喬山1736,卜蜂1215,中美晶5483,欣銓3264,旺矽6223,均華6640,欣銓3264,聯亞3081,台半5425,聯亞3081,新普6121,大學光3218,大學光3218,聯亞3081,鈊象3293,宜鼎5289,信驊5274,鈊象3293,
志聖2467,宜新實業4440,堤維西1522,科妍1786,旺旺保2816,志聯2024,華航2610,大亞1609,環泥1104,台汽電8926,士紙1903,國揚2505,GOGOLOOK6902,保瑞6472,訊連5203,大洋1321,緯穎6669,王品2727,德淵4720,億豐8464,長華*8070,士電1503,瑞祺電通6416,研華2395,三商2905,厚生2107,亞翔6139,上緯投控3708,冠西電2466,大統益1232,鑽石投資6901,南亞科2408,勝悅-KY1340,中釉1809,大魯閣1432,愛地雅8933,青鋼8930,竹陞科技6739,健椿4561,擎亞8096,信驊5274,永捷4714,德宏5475,德麥1264,能率5392,創泓科技7714,新鼎5209,中菲行5609,金洲4417,萬達寵物6968,欣泰8917,茂生農經1240,弘煜科6482,福邦證6026,,叡揚6752,東友5438,六角2732,天宇8171,益安6499,泰霖8080,世坤4305,豪勉6218,富味鄉1260,公信8119,展逸6798,鐳洋科技6980,台視8329,綠岩能源7833,安盛生6734,,倍利科7822,,,燁聯9957,歐特明2256,遠壽5859,,紅陽7745,高福4773,聯享3678,振躍精密6705,年程3117,,華芸科技7801,群運6911,老四川2741,床的世界2938,,百一6152,公信8119,宜鼎5289,華碩2357,富世達6805,亞帝歐3516,宏觀6568,華新科2492,精英2331,華碩2357,物聯6565,弘塑3131,台灣大3045,友威科3580,立端6245,虹堡5258,西柏3541,有成精密4949,德宏5475,連展投控3710,雍智科技6683,明曜科技7890,地心引力3629,哲固3434,精星8183,州巧3543,彩富5489,益登3048,旭品3325,91APP*-KY6741,聯強2347,均華6640,北祥科服7785,新門5432,譜瑞-KY4966,雄獅2731,鳳凰5706,瑞儀6176,南緯1467,永豐餘1907,正崴2392,貿聯-KY3665,研華2395,達運6120,千附精密6829,碩天3617,光洋科1785,橘子6180,為升2231,崧騰3484,正崴2392,振樺電8114,敬鵬2355,仁寶2324,宜鼎5289,兆利3548,嘉晶3016,華晶科3059,大宇資6111,永豐餘1907,正崴2392,愛地雅8933,嘉彰4942,中鋼2002,燁輝2023,威剛3260,威剛3260,弘塑3131,力領科技6996,原相3227,泰茂2230,宜鼎5289,泰茂2230,元太8069,新應材4749,宜鼎5289,均華6640,光洋科1785,信驊5274,中美晶5483,光洋科1785,
健策3653,嘉裕1417,華勝-KY2248,永光1711,遠東銀2845,運錩2069,台航2617,宏泰1612,信大1109,全國9937,正隆1904,皇翔2545,富邦媒8454,泰博4736,精誠6214,富林-KY1341,事欣科4916,新天地8940,國精化4722,嘉威3557,崇越5434,時碩工業4566,友訊2332,尼得科超眾6230,麗嬰房2911,鑫永銓2114,貿聯-KY3665,中台6923,全台3038,愛之味1217,裕慶-KY6957,旺宏2337,強信-KY4560,凱撒衛1817,東哥遊艇8478,祺驊1593,世豐2065,聖暉*5536,精湛2070,亞矽6113,瑞耘6532,聚和6509,華容5328,金穎生技1796,由田3455,欣新網2949,淳紳4529,陸海5603,東隆興4401,詩肯6195,,,智崴5263,美好證6021,,智聯服務6751,撼訊6150,旅天下6961,綠電8440,欣大健康4198,新潤6186,,康全電訊8089,遠東生技6886,元鈦科7892,歐都納2940,大鵬科CLMX7689,學習王6780,國際海洋7583,禾生技4194,,恆勁科技6920,,,,宇辰系統7813,公勝保經6028,,任開數位7904,天弘化7742,旭東4537,寶元數控4587,紘通5271,,藍新資訊6938,智生活7836,QBurger7797,捷博7831,,友訊2332,振樺電8114,尼得科超眾6230,淳安6283,志豐3206,研晶6559,凌通4952,聚鼎6224,捷波6161,緯創3231,甲尚6882,久元6261,中華電2412,匯鑽科8431,常珵8097,茂訊3213,漢平2488,台虹8039,金像電2368,健和興3003,長科*6548,立德3058,,敘豐3485,佳世達2352,錸德2349,三聯5493,巨虹8084,勤誠8210,知識科技7551,順發6154,竹陞科技6739,資通2471,聯享3678,祥碩5269,南仁湖5905,群創3481,健鼎3044,儒鴻1476,米斯特2941,森崴能源6806,致伸4915,健策3653,智晶5245,兆聯實業6944,桓鼎-KY5543,新應材4749,夏都2722,六暉-KY2115,錩新2415,和碩4938,雄獅2731,仁寶2324,力麗1444,旺玖6233,瑞儀6176,合晶6182,光寶科2301,歐買尬3687,米斯特2941,凌巨8105,寶成9904,台郡6269,旺玖6233,聚亨2022,元太8069,新普6121,精測6510,鈊象3293,順達3211,松瑞藥4167,綠界科技*6763,松瑞藥4167,環球晶6488,旺矽6223,兆利3548,力領科技6996,新應材4749,新普6121,威剛3260,新應材4749,
台光電2383,聚隆1466,耿鼎1524,長興1717,聯邦銀2838,第一銅2009,台驊控股2636,億泰1616,亞泥1102,大台北9908,寶隆1906,宏盛2534,奧義賽博-KY創7823,科妍1786,傳奇4994,台塑1301,勤誠8210,寒舍2739,材料*-KY4763,慶豐富9935,益登3048,台灣精銳4583,合勤控3704,明泰3380,統領2910,台橡2103,洋基工程6691,山林水8473,瑞軒2489,佳格1227,必應6625,愛普*6531,騰輝電子-KY6672,,巨大9921,鉅明8928,建錩5014,漢科3402,金雨4503,光菱8032,華景電6788,大立4716,中探針6217,漢田生技1294,中光電5371,安碁資訊6690,國統8936,正德2641,竣邦-KY4442,宏太-KY2924,,,昱泉6169,元大期6023,,緯軟4953,力致3483,築間7723,天方能源3073,中裕4147,雙喜5516,,振曜6143,王子製藥6935,沅聖6638,,智通聯網3473,帝圖6650,合水先進7857,仲恩生醫7729,,碩正科技7669,,,,奇鼎科技6849,歐付寶6878,,達人網7839,兆捷科技6959,山太士3595,儒億6604,聯致3585,,碩豐6536,宏羚7885,路易莎咖啡2758,,,統新6426,飛捷6206,致伸4915,統振6170,兆利3548,建祥國際3603,博士旺3555,立隆電2472,永擎7711,融程電3416,力新5202,博磊3581,,威力暘-創6988,韋僑6417,偉聯9912,晉倫6151,安集6477,合正5381,正崴2392,宇川精材7887,力銘3593,,東捷8064,鴻海2317,吉祥全2491,,方土昶6265,華孚6235,尚凡*5278,全國電6281,科嶠4542,倍力6874,華宏8240,威鋒電子6756,聯華1229,力鵬1447,台郡6269,廣越4438,榮運2607,恒耀8349,正崴2392,群創3481,友達2409,中聯資源9930,大同2371,旺矽6223,六福2705,怡利電2497,亞光3019,南電8046,智邦2345,普誠6129,瑞儀6176,健和興3003,健鼎3044,環球晶6488,,信驊5274,榮運2607,矽創8016,力山1515,緯創3231,桓鼎-KY5543,允強2034,環球晶6488,台燿6274,信驊5274,新應材4749,新普6121,巨漢6903,艾訊3088,巨漢6903,世界5347,智通*8932,精測6510,長科*6548,台半5425,台燿6274,穩懋3105,旺矽6223,
欣興3037,東和1414,劍麟2228,承業醫4164,台產2832,彰源2030,台船2208,華電1603,台泥乙特1101B,新海9926,永豐餘1907,宏璟2527,中華資安7765,視陽6782,敦陽科2480,台苯1310,華擎3515,鳳凰5706,中華化1727,櫻花9911,大聯大3702,大量3167,台通8011,福懋科8131,高林2906,華豐2109,旭隼6409,可寧衛*8422,億光2393,聯華1229,中福1435,宇瞻8271,眾達-KY4977,,寶成9904,邁達康9960,恒耀8349,閎康3587,大井泵浦6982,全達8068,竑騰7751,大恭4706,良維6290,金利食安7743,友輝4933,網家8044,大甲2221,,新昕纖4406,寶雅5904,,,寬宏藝術6596,大展證6020,,天剛5310,新盛力4931,海灣3252,新門5432,皇將4744,鑫龍騰3188,,立端6245,品元6963,拍檔3097,,大大寬頻7901,友松6583,傑智環境6723,樂迦再生6891,,創新服務7828,,,,泰創工程6750,,,ACpay6984,博瑞達應材6972,敘豐3485,碩陽電機4589,喬越7896,,來毅數位7834,倍利創投7882,饗賓7883,,,眾達-KY4977,凌華6166,東友5438,美律2439,欣厚-KY4924,機光科技6729,力領科技6996,越峰8121,東擎科技7710,藍天2362,意藍6925,蔚華科3055,,熱映3373,華電網6163,上福6128,元山6275,旭東環保1343,恆勁科技6920,華盈3520,立達5262,偉訓3032,,奇偶3356,,鑫科3663,,凱崴5498,巨騰-DR9136,新零售3085,志旭8067,意德士7556,普鴻6590,群創3481,創惟6104,寶得利5301,新纖1409,正崴2392,宏遠1460,歐買尬3687,中鋼構2013,長興1717,台半5425,瑞鼎3592,山林水8473,立德3058,智通*8932,技嘉2376,橙的4554,建準2421,今國光6209,明基材8215,尼得科超眾6230,台郡6269,大同2371,台郡6269,辛耘3583,,微星2377,歐買尬3687,和碩4938,滿心2916,正達3149,健和興3003,車王電1533,世界5347,元太8069,穩懋3105,昱展新藥6785,環球晶6488,均華6640,昇佳電子6732,均華6640,力旺3529,弘塑3131,艾訊3088,旺矽6223,旺矽6223,元太8069,環球晶6488,智通*8932,
聯德3308,東華1418,麗清3346,勝一1773,臺企銀2834,新光鋼2031,龍德造船6753,合機1618,台泥1101,台塑化6505,,建國5515,伊雲谷6689,台康生技6589,華經2468,台化1326,普安2495,國賓2704,永光1711,成霖9934,全科3209,高力8996,圓展3669,祥碩5269,潤泰全2915,國際中橡2104,致茂2360,日友8341,鈺德3050,卜蜂1215,台數科6464,光罩2338,全宇生技-KY4148,,復盛應用6670,明係6804,松和5016,弘塑3131,元創精密3685,利機3444,新應材4749,國碳科4754,穩得6761,中華食4205,熒茂4729,歐買尬3687,旭源8421,,興采4433,唐鋒4609,,,桂田文創4806,台名5878,,驊宏資6148,宜鼎5289,山富2743,裕山7715,強生4747,富旺6219,,韋僑6417,騰勢7889,東擎科技7710,,稜研科技*7812,影一8458,明曜科技7890,安立璽榮-KY7871,,擷發科7796,,,,騏億鑫7848,,,美賣*6473,芝普7858,建騰5240,宏偉4565,來穎7816,,采威國際6868,清淨海7516,亞果遊艇7566,,,東訊2321,艾訊3088,圓剛2417,晨訊科-DR912000,揚博2493,立誠6597,大中6435,臺慶科3357,華擎3515,宏碁2353,訊連5203,家登3680,,碩天3617,佐臻4980,輔信2405,亞弘電6201,長興1717,建榮5340,台端3432,麗正2302,曜越3540,,均豪5443,,龍翩5267,,文曄3036,振發5426,創業家8477,神腦2450,有成精密4949,凌網5212,彩晶6116,宏致3605,宏太-KY2924,友達2409,和碩4938,聚陽1477,榮成1909,上緯投控3708,和碩4938,敬鵬2355,均豪5443,台境*8476,盈正3628,弘塑3131,劍湖山5701,系統電5309,,泰碩3338,大同2371,明基材8215,致伸4915,和碩4938,致伸4915,昇陽半導體8028,,華碩2357,榮成1909,凌華6166,光隆8916,志超8213,凌華6166,寶成9904,力旺3529,世界5347,環球晶6488,旺矽6223,世界5347,德宏5475,立端6245,德宏5475,群聯8299,宜鼎5289,昇佳電子6732,弘塑3131,鑫聯大投控3709,力旺3529,世界5347,弘塑3131,
台達電2308,台南1473,吉茂1587,國光生4142,華票2820,中鴻2014,星宇航空2646,燦星網4930,,,,永固-KY5546,資拓宏宇6614,望隼4771,資通2471,國喬1312,威強電3022,八方雲集2753,長興1717,匯僑設計6754,增你強3028,亞力1514,星通3025,南亞科2408,欣欣2901,申豐6582,德律3030,熙特爾-創7740,佳能2374,南僑1702,川飛1516,南茂8150,IKKA-KY2250,,拓凱4536,,世鎧2063,信紘科6667,永彰4523,華豫寧6474,威剛3260,誠泰科技4767,能率網通8071,,泰谷3339,宏碁資訊6811,能率亞洲7777,,郡都開發4402,寶陞2948,,,華義3086,,,東捷資訊6697,協禧3071,聯發國際2756,中茂5205,精華1565,聯上4113,,萬泰科6190,,博來科技7562,,,,益鈞環科*6912,國鼎4132,,丹立7866,,,,神數7821,,,極風雲創7826,磐采4765,梭特6812,傑生4570,美強光6915,,鼎恒6738,野獸國6995,巨宇翔2760,,,友勁6142,安圖斯7875,奇鋐3017,亞元6109,晶技3042,雷笛克光學5230,天鈺4961,禾伸堂3026,映泰2399,營邦3693,實威8416,辛耘3583,,貿聯-KY3665,大鵬科CLMX7689,歐格3002,東科-KY5225,開陽能源6839,騰輝電子-KY6672,詮欣6205,凌航3135,聯昌2431,,高僑6234,,錦明3230,,大拓-KY8455,鴻準2354,寶雅5904,燦坤2430,長廣7795,零壹3029,達運6120,優群3217,美食-KY2723,雄獅2731,嘉聯益6153,,91APP*-KY6741,廣錠6441,嘉聯益6153,憶聲3024,TPK-KY3673,康那香9919,廣錠6441,宜鼎5289,宇峻3546,,,泰鼎-KY4927,飛捷6206,正崴2392,矽創8016,凌華6166,嘉聯益6153,台勝科3532,,遠傳4904,91APP*-KY6741,艾訊3088,大田8924,大立光3008,嘉泥1103,統一1216,群聯8299,群聯8299,世界5347,浩鼎4174,群聯8299,力領科技6996,金居8358,力領科技6996,精材3374,台特化4772,信驊5274,環宇-KY4991,系微6231,群聯8299,力旺3529,宜鼎5289,
泰鼎-KY4927,儒鴻1476,智伸科4551,台耀4746,凱基金2883,聚亨2022,建新國際8367,禾聯碩5283,,,,昇陽3266,微程式7721,寶齡富錦1760,凌群2453,炎洲4306,輔信2405,雲品2748,南寶4766,峰源-KY6807,聯強2347,中砂1560,海華3694,鼎元2426,金麗-KY8429,泰豐2102,迅得6438,平和環保-創6771,錸德2349,臺鹽1737,遠見3040,日月光投控3711,貿聯-KY3665,,志強-KY6768,,榮剛5009,矽科宏晟6725,萬在4543,倍微6270,台星科3265,泓瀚4741,南俊國際6584,,伯特光6859,新零售3085,達輝-KY5276,,雙邦6506,滿心2916,,,智基6294,,,晉泰6221,欣厚-KY4924,易飛網2734,進能服6692,上亞科技6130,力麒5512,,璟德3152,,樺緯物聯7455,,,,天能綠電7842,漢康-KY7827,,眾智6819,,,,和亞智慧7825,,,知識科技7551,,研晶6559,盛復4553,相互6407,,程曦資訊6898,天力離岸6793,乾杯1269,,,智邦2345,廣積8050,鼎翰3611,閎暉3311,百容2483,佰鴻3031,九齊6494,凱美2375,,佳世達2352,偉康科技6865,陞泰8072,,位速3508,富爾特6136,濱川1569,安普新6743,森崴能源6806,敬鵬2355,良維6290,新應材4749,幸康3332,,由田3455,,華晶科3059,,大聯大3702,晟銘電3013,數字5287,展碁國際6776,敘豐3485,采威國際6868,新應材4749,鴻海2317,大成1210,台虹8039,富采3714,,信驊5274,亞泥1102,寶成9904,松翰5471,錸德2349,平和環保-創6771,勝德3296,台特化4772,南僑1702,,,創惟6104,凌華6166,晶技3042,和碩4938,艾訊3088,富采3714,,,東森2614,信驊5274,大拓-KY8455,利勤4426,玉晶光3406,台泥1101,力山1515,聖暉*5536,聖暉*5536,萬潤6187,系微6231,聖暉*5536,竹陞科技6739,廣積8050,竹陞科技6739,聖暉*5536,印能科技7734,是方6561,漢磊3707,千附精密6829,聖暉*5536,群聯8299,台特化4772,
